Localities,IRSD Score,IRSD Decile,IRSDA Score,IRSDA Decile,IER Score,IER Decile,IEO Score,IEO Decile,Usual Resident Population
Wynnum,1030.757405,6,1031.26829,8,1015.570439,5,1029.874843,8,14036
Yamanto,1009.962283,5,961.08722,4,1029.029733,6,920.3837134,3,4971
Yangan,1001.223148,5,941.3255175,3,1010.676282,5,910.3858142,2,404
Yarrabah,512.4605016,1,677.6226035,1,568.868629,1,787.5902336,1,2505
Yarraman,849.3216558,1,836.1138755,1,905.8852814,1,842.0823646,1,1127
Yelarbon,846.1803302,1,831.4720144,1,913.8686919,1,805.6306971,1,313
Yeppoon,951.3714229,2,927.917314,3,955.4534537,2,913.2835299,2,7037
Yuleba,893.5425689,1,874.5723696,1,930.5349256,2,868.6562495,1,271
Yungaburra,1025.749234,6,987.7208804,6,1005.045224,4,982.2039161,6,1272
,,,,,,,,,
